booking_id,arrival_date,departure_date,room_cat_id,guests,channel,rate_paid_eur,days_before_arrival,status
BK-00023,2025-01-02,2025-01-03,dob-001,2,DIRECT,164.12,46,CONFIRMED
BK-00024,2025-01-02,2025-01-05,dob-001,1,AIRBNB,144.91,52,CONFIRMED
BK-00025,2025-01-02,2025-01-03,dob-001,2,AIRBNB,138.09,52,CONFIRMED
BK-00026,2025-01-02,2025-01-03,dob-001,2,BOOKING,152.6,9,CONFIRMED
BK-00027,2025-01-02,2025-01-03,sui-001,2,BOOKING,261.15,45,CONFIRMED
BK-00028,2025-01-02,2025-01-03,dob-001,2,DIRECT,167.85,57,CONFIRMED
BK-00029,2025-01-03,2025-01-04,sup-001,2,AIRBNB,219.2,79,CANCELLED
BK-00030,2025-01-03,2025-01-04,dob-001,1,BOOKING,193.77,27,CONFIRMED
BK-00031,2025-01-03,2025-01-05,dob-001,2,BOOKING,188.84,70,CANCELLED
BK-00032,2025-01-03,2025-01-04,dob-001,2,AIRBNB,179.91,44,CONFIRMED
BK-00033,2025-01-03,2025-01-05,dob-001,2,BOOKING,178.99,52,CONFIRMED
BK-00034,2025-01-03,2025-01-05,sup-001,1,DIRECT,251.25,43,CONFIRMED
BK-00035,2025-01-03,2025-01-05,sup-001,2,BOOKING,243.86,57,CONFIRMED
BK-00036,2025-01-03,2025-01-04,dob-001,1,EXPEDIA,189.45,39,CONFIRMED
BK-00037,2025-01-03,2025-01-05,dob-001,2,AIRBNB,183.17,48,CONFIRMED
BK-00038,2025-01-03,2025-01-06,sui-001,2,BOOKING,329.98,60,CONFIRMED
BK-00039,2025-01-03,2025-01-08,sup-001,1,EXPEDIA,249.18,35,CONFIRMED
BK-00040,2025-01-03,2025-01-04,dob-001,2,DIRECT,201.68,73,CONFIRMED
BK-00041,2025-01-03,2025-01-04,sup-001,1,BOOKING,228.97,77,CONFIRMED
BK-00042,2025-01-03,2025-01-04,dob-001,2,DIRECT,194.83,23,CONFIRMED
BK-00043,2025-01-04,2025-01-06,sup-001,1,BOOKING,239.79,77,CONFIRMED
BK-00044,2025-01-04,2025-01-06,sui-001,1,DIRECT,363.21,15,CONFIRMED
BK-00045,2025-01-04,2025-01-07,sup-001,1,AIRBNB,235.48,72,CONFIRMED
BK-00046,2025-01-04,2025-01-06,dob-001,2,DIRECT,209.09,65,CONFIRMED
BK-00047,2025-01-04,2025-01-07,sup-001,2,DIRECT,267.18,77,CONFIRMED
BK-00048,2025-01-04,2025-01-05,sup-001,1,EXPEDIA,247.26,29,CONFIRMED
BK-00049,2025-01-04,2025-01-07,dob-001,1,BOOKING,179.13,45,CONFIRMED
BK-00050,2025-01-04,2025-01-07,dob-001,1,AIRBNB,173.8,49,CONFIRMED
BK-00051,2025-01-04,2025-01-06,sui-001,1,AIRBNB,300.02,67,CANCELLED
BK-00052,2025-01-04,2025-01-05,dob-001,1,EXPEDIA,185.01,91,CONFIRMED
BK-00053,2025-01-04,2025-01-06,dob-001,2,DIRECT,203.96,67,CONFIRMED
BK-00054,2025-01-04,2025-01-06,sup-001,1,BOOKING,234.65,33,CONFIRMED
BK-00055,2025-01-04,2025-01-07,dob-001,1,EXPEDIA,181.02,27,CONFIRMED
BK-00056,2025-01-04,2025-01-05,dob-001,2,AIRBNB,177.59,56,CANCELLED
BK-00057,2025-01-05,2025-01-07,dob-001,1,DIRECT,161.43,19,CONFIRMED
BK-00058,2025-01-05,2025-01-06,dob-001,2,BOOKING,145.05,30,CONFIRMED
BK-00059,2025-01-05,2025-01-07,dob-001,1,BOOKING,145.87,45,CONFIRMED
BK-00060,2025-01-05,2025-01-06,dob-001,2,DIRECT,155.08,15,CONFIRMED
BK-00061,2025-01-05,2025-01-07,dob-001,2,DIRECT,153.99,46,CONFIRMED
BK-00062,2025-01-05,2025-01-07,sup-001,2,DIRECT,218.83,74,CONFIRMED
BK-00063,2025-01-05,2025-01-06,dob-001,2,DIRECT,169.9,54,CONFIRMED
BK-00064,2025-01-05,2025-01-09,sup-001,2,AIRBNB,184.15,16,CONFIRMED
BK-00065,2025-01-05,2025-01-07,sui-001,3,AIRBNB,252.81,44,CONFIRMED
BK-00066,2025-01-05,2025-01-07,sup-001,1,BOOKING,189.6,60,CONFIRMED
BK-00067,2025-01-05,2025-01-06,dob-001,1,BOOKING,143.46,34,CONFIRMED
BK-00068,2025-01-05,2025-01-07,dob-001,1,BOOKING,156.07,15,CONFIRMED
BK-00069,2025-01-05,2025-01-07,sup-001,2,AIRBNB,188.73,63,CONFIRMED
BK-00070,2025-01-05,2025-01-09,sui-001,3,BOOKING,265.21,45,CONFIRMED
BK-00071,2025-01-06,2025-01-07,dob-001,1,BOOKING,144.98,36,CONFIRMED
BK-00072,2025-01-06,2025-01-07,dob-001,1,BOOKING,150.97,26,CONFIRMED
BK-00073,2025-01-06,2025-01-08,dob-001,2,DIRECT,159.19,34,CONFIRMED
BK-00074,2025-01-06,2025-01-07,sup-001,2,EXPEDIA,185.65,54,CONFIRMED
BK-00075,2025-01-06,2025-01-08,dob-001,1,AIRBNB,146.12,50,CONFIRMED
BK-00076,2025-01-06,2025-01-07,sui-001,2,DIRECT,288.3,16,CONFIRMED
BK-00077,2025-01-06,2025-01-07,sup-001,2,EXPEDIA,186.28,19,CONFIRMED
BK-00078,2025-01-06,2025-01-10,sui-001,1,DIRECT,288.53,24,CONFIRMED
BK-00079,2025-01-06,2025-01-07,sui-001,1,EXPEDIA,269.65,38,CONFIRMED
BK-00080,2025-01-06,2025-01-08,sui-001,3,DIRECT,279.17,38,CONFIRMED
BK-00081,2025-01-06,2025-01-07,dob-001,1,BOOKING,156.91,49,CONFIRMED
BK-00082,2025-01-06,2025-01-09,sup-001,2,EXPEDIA,202.77,36,CONFIRMED
BK-00083,2025-01-06,2025-01-09,dob-001,2,BOOKING,155.28,43,CONFIRMED
BK-00084,2025-01-06,2025-01-07,sui-001,2,AIRBNB,252.13,29,CONFIRMED
BK-00085,2025-01-07,2025-01-08,dob-001,1,AIRBNB,147.92,50,CONFIRMED
BK-00086,2025-01-07,2025-01-08,sup-001,2,DIRECT,213.86,27,CONFIRMED
BK-00087,2025-01-07,2025-01-09,dob-001,2,EXPEDIA,145.82,47,CONFIRMED
BK-00088,2025-01-07,2025-01-08,sup-001,2,BOOKING,192.31,36,CONFIRMED
BK-00089,2025-01-07,2025-01-08,sup-001,1,EXPEDIA,186.38,54,CONFIRMED
BK-00090,2025-01-07,2025-01-09,dob-001,1,DIRECT,165.64,53,CONFIRMED
BK-00091,2025-01-07,2025-01-09,sui-001,1,DIRECT,269.73,46,CONFIRMED
BK-00092,2025-01-07,2025-01-08,dob-001,2,AIRBNB,137.17,57,CONFIRMED
BK-00093,2025-01-07,2025-01-09,sui-001,2,AIRBNB,238.19,33,CONFIRMED
BK-00094,2025-01-07,2025-01-09,sui-001,2,EXPEDIA,265.9,49,CONFIRMED
BK-00095,2025-01-07,2025-01-08,dob-001,1,BOOKING,151.59,70,NO_SHOW
BK-00096,2025-01-07,2025-01-08,sup-001,2,BOOKING,200.73,68,CONFIRMED
BK-00097,2025-01-07,2025-01-08,sui-001,2,BOOKING,254.91,57,CONFIRMED
BK-00098,2025-01-07,2025-01-08,sup-001,1,DIRECT,208.21,40,CONFIRMED
BK-00099,2025-01-08,2025-01-09,sup-001,2,DIRECT,157.05,0,CONFIRMED
BK-00100,2025-01-08,2025-01-10,sup-001,2,EXPEDIA,140.12,10,CONFIRMED
BK-00101,2025-01-08,2025-01-11,sup-001,1,EXPEDIA,140.47,2,CONFIRMED
BK-00102,2025-01-08,2025-01-09,dob-001,2,EXPEDIA,108.01,17,CANCELLED
BK-00103,2025-01-08,2025-01-09,dob-001,2,DIRECT,122.03,6,CONFIRMED
BK-00104,2025-01-08,2025-01-10,sui-001,3,AIRBNB,175.41,10,CONFIRMED
BK-00105,2025-01-08,2025-01-10,dob-001,2,BOOKING,109.46,10,CANCELLED
BK-00106,2025-01-09,2025-01-10,dob-001,1,DIRECT,118.89,15,CONFIRMED
BK-00107,2025-01-09,2025-01-11,dob-001,2,DIRECT,112.66,0,CONFIRMED
BK-00108,2025-01-09,2025-01-14,dob-001,2,BOOKING,107.96,4,NO_SHOW
BK-00109,2025-01-09,2025-01-10,dob-001,1,DIRECT,111.38,0,CONFIRMED
BK-00110,2025-01-09,2025-01-13,sup-001,2,BOOKING,143.78,0,CONFIRMED
BK-00111,2025-01-09,2025-01-10,sup-001,2,DIRECT,154.39,25,CONFIRMED
BK-00112,2025-01-09,2025-01-10,dob-001,2,EXPEDIA,106.38,19,CONFIRMED
BK-00113,2025-01-10,2025-01-13,dob-001,1,AIRBNB,122.48,0,CONFIRMED
BK-00114,2025-01-10,2025-01-13,sui-001,3,DIRECT,254.05,29,CONFIRMED
BK-00115,2025-01-10,2025-01-13,dob-001,1,DIRECT,134.24,25,CONFIRMED
BK-00116,2025-01-10,2025-01-11,dob-001,2,BOOKING,126.53,13,CONFIRMED
BK-00117,2025-01-10,2025-01-12,dob-001,1,BOOKING,131.47,29,CONFIRMED
BK-00118,2025-01-10,2025-01-11,sup-001,2,EXPEDIA,166.32,18,NO_SHOW
BK-00119,2025-01-10,2025-01-12,dob-001,2,BOOKING,128.27,2,CONFIRMED
BK-00120,2025-01-10,2025-01-11,sup-001,1,EXPEDIA,174.2,18,CONFIRMED
BK-00121,2025-01-10,2025-01-12,dob-001,2,BOOKING,126.46,20,CONFIRMED
BK-00122,2025-01-10,2025-01-12,sup-001,1,AIRBNB,160.15,6,CONFIRMED
BK-00123,2025-01-11,2025-01-17,sui-001,2,EXPEDIA,220.5,0,CONFIRMED
BK-00124,2025-01-11,2025-01-14,sup-001,2,DIRECT,174.55,0,CONFIRMED
BK-00125,2025-01-11,2025-01-13,dob-001,2,BOOKING,128.23,31,CONFIRMED
BK-00126,2025-01-11,2025-01-14,dob-001,2,DIRECT,133.5,23,CONFIRMED
BK-00127,2025-01-11,2025-01-14,dob-001,2,AIRBNB,121.43,5,CONFIRMED
BK-00128,2025-01-11,2025-01-12,sup-001,2,DIRECT,174.73,17,CONFIRMED
BK-00129,2025-01-11,2025-01-12,dob-001,2,BOOKING,128.72,6,NO_SHOW
BK-00130,2025-01-11,2025-01-13,dob-001,2,EXPEDIA,128.06,40,CONFIRMED
BK-00131,2025-01-11,2025-01-14,dob-001,2,DIRECT,138.5,5,CONFIRMED
BK-00132,2025-01-11,2025-01-13,sup-001,2,EXPEDIA,170.27,25,CONFIRMED
BK-00133,2025-01-12,2025-01-13,sup-001,2,BOOKING,133.88,11,CONFIRMED
BK-00134,2025-01-12,2025-01-13,dob-001,2,BOOKING,105.33,10,CONFIRMED
BK-00135,2025-01-12,2025-01-13,sui-001,2,EXPEDIA,170.2,6,CONFIRMED
BK-00136,2025-01-12,2025-01-13,sui-001,3,AIRBNB,176.23,0,CONFIRMED
BK-00137,2025-01-12,2025-01-15,sui-001,3,BOOKING,180.07,0,CONFIRMED
BK-00138,2025-01-12,2025-01-14,sup-001,2,EXPEDIA,127.17,5,CONFIRMED
BK-00139,2025-01-12,2025-01-15,dob-001,2,BOOKING,105.29,19,CONFIRMED
BK-00140,2025-01-13,2025-01-14,dob-001,2,DIRECT,107.31,12,CONFIRMED
BK-00141,2025-01-13,2025-01-16,dob-001,2,DIRECT,106.52,6,CONFIRMED
BK-00142,2025-01-13,2025-01-14,sup-001,1,BOOKING,127.25,0,CONFIRMED
BK-00143,2025-01-13,2025-01-14,sui-001,2,BOOKING,177.24,8,CANCELLED
BK-00144,2025-01-13,2025-01-18,dob-001,1,BOOKING,95.68,4,CONFIRMED
BK-00145,2025-01-13,2025-01-15,sui-001,2,EXPEDIA,169.54,19,CONFIRMED
BK-00146,2025-01-13,2025-01-15,dob-001,2,DIRECT,104.34,8,CONFIRMED
BK-00147,2025-01-14,2025-01-15,sui-001,3,DIRECT,177.85,9,CONFIRMED
BK-00148,2025-01-14,2025-01-15,dob-001,1,EXPEDIA,100.55,3,CONFIRMED
BK-00149,2025-01-14,2025-01-15,dob-001,1,DIRECT,105.28,0,CONFIRMED
BK-00150,2025-01-14,2025-01-16,sup-001,2,DIRECT,130.09,5,CANCELLED
BK-00151,2025-01-14,2025-01-17,sup-001,2,BOOKING,124.97,14,CANCELLED
BK-00152,2025-01-14,2025-01-16,sup-001,1,AIRBNB,121.2,9,CONFIRMED
BK-00153,2025-01-14,2025-01-15,dob-001,2,BOOKING,97.26,15,CONFIRMED
BK-00154,2025-01-15,2025-01-16,sup-001,2,EXPEDIA,127.34,6,CONFIRMED
BK-00155,2025-01-15,2025-01-16,sup-001,1,BOOKING,118.98,0,CONFIRMED
BK-00156,2025-01-15,2025-01-17,dob-001,1,BOOKING,91.84,9,CANCELLED
BK-00157,2025-01-15,2025-01-16,sui-001,3,DIRECT,182.56,0,CONFIRMED
BK-00158,2025-01-15,2025-01-16,dob-001,2,BOOKING,99.53,3,CONFIRMED
BK-00159,2025-01-15,2025-01-19,sup-001,2,BOOKING,120.58,9,CONFIRMED
BK-00160,2025-01-15,2025-01-18,dob-001,2,BOOKING,98.95,16,CONFIRMED
BK-00161,2025-01-16,2025-01-21,sui-001,2,EXPEDIA,173.53,22,CONFIRMED
BK-00162,2025-01-16,2025-01-17,dob-001,1,EXPEDIA,91.26,9,CONFIRMED
BK-00163,2025-01-16,2025-01-18,sui-001,1,BOOKING,163.21,18,CONFIRMED
BK-00164,2025-01-16,2025-01-17,dob-001,2,BOOKING,96.65,9,CONFIRMED
BK-00165,2025-01-16,2025-01-17,dob-001,2,DIRECT,103.53,5,CONFIRMED
BK-00166,2025-01-16,2025-01-17,dob-001,1,EXPEDIA,93.92,17,CONFIRMED
BK-00167,2025-01-16,2025-01-18,sup-001,1,EXPEDIA,121.54,6,CONFIRMED
BK-00168,2025-01-17,2025-01-18,dob-001,1,DIRECT,130.89,13,CONFIRMED
BK-00169,2025-01-17,2025-01-18,dob-001,2,EXPEDIA,122.55,15,CONFIRMED
BK-00170,2025-01-17,2025-01-18,dob-001,2,AIRBNB,113.18,10,CONFIRMED
BK-00171,2025-01-17,2025-01-18,sup-001,1,DIRECT,170.47,18,CONFIRMED
BK-00172,2025-01-17,2025-01-18,sui-001,2,EXPEDIA,207.47,0,CONFIRMED
BK-00173,2025-01-17,2025-01-18,dob-001,1,DIRECT,127.86,9,CONFIRMED
BK-00174,2025-01-17,2025-01-18,sui-001,3,EXPEDIA,201.52,13,CONFIRMED
BK-00175,2025-01-17,2025-01-18,dob-001,2,BOOKING,118.2,21,CONFIRMED
BK-00176,2025-01-17,2025-01-19,sup-001,2,BOOKING,154.83,29,CONFIRMED
BK-00177,2025-01-17,2025-01-20,sup-001,1,BOOKING,149.33,6,CONFIRMED
BK-00178,2025-01-18,2025-01-20,dob-001,2,DIRECT,131.97,17,CONFIRMED
BK-00179,2025-01-18,2025-01-21,dob-001,2,AIRBNB,115.64,1,CONFIRMED
BK-00180,2025-01-18,2025-01-19,sui-001,3,EXPEDIA,206.47,16,CONFIRMED
BK-00181,2025-01-18,2025-01-19,dob-001,2,DIRECT,123.55,11,CONFIRMED
BK-00182,2025-01-18,2025-01-19,dob-001,2,BOOKING,116.77,2,CONFIRMED
BK-00183,2025-01-18,2025-01-19,dob-001,2,DIRECT,122.55,11,CONFIRMED
BK-00184,2025-01-18,2025-01-19,sup-001,2,EXPEDIA,158.47,11,CANCELLED
BK-00185,2025-01-18,2025-01-20,dob-001,1,DIRECT,128.95,10,CANCELLED
BK-00186,2025-01-18,2025-01-19,sui-001,3,BOOKING,210.5,4,CONFIRMED
BK-00187,2025-01-18,2025-01-20,sui-001,2,EXPEDIA,204.13,5,CONFIRMED
BK-00188,2025-01-19,2025-01-20,dob-001,2,AIRBNB,87.89,10,CONFIRMED
BK-00189,2025-01-19,2025-01-22,dob-001,2,DIRECT,101.99,8,CONFIRMED
BK-00190,2025-01-19,2025-01-20,sup-001,1,BOOKING,127.36,5,CONFIRMED
BK-00191,2025-01-19,2025-01-20,sup-001,2,BOOKING,121.33,7,CONFIRMED
BK-00192,2025-01-19,2025-01-20,sup-001,2,BOOKING,123.62,14,CONFIRMED
BK-00193,2025-01-19,2025-01-20,sui-001,3,AIRBNB,160.04,5,CONFIRMED
BK-00194,2025-01-19,2025-01-22,sui-001,1,EXPEDIA,170.37,13,CONFIRMED
BK-00195,2025-01-20,2025-01-22,sui-001,3,DIRECT,177.32,4,CONFIRMED
BK-00196,2025-01-20,2025-01-21,sui-001,3,BOOKING,167.18,18,CONFIRMED
BK-00197,2025-01-20,2025-01-21,dob-001,2,DIRECT,98.79,13,CONFIRMED
BK-00198,2025-01-20,2025-01-23,sui-001,3,BOOKING,164.42,6,CONFIRMED
BK-00199,2025-01-20,2025-01-22,sui-001,3,DIRECT,177.01,9,CONFIRMED
BK-00200,2025-01-20,2025-01-22,sui-001,2,EXPEDIA,164.44,7,CONFIRMED
BK-00201,2025-01-20,2025-01-21,dob-001,2,BOOKING,96.93,18,CONFIRMED
BK-00202,2025-01-21,2025-01-23,dob-001,1,DIRECT,104.87,16,CONFIRMED
BK-00203,2025-01-21,2025-01-22,dob-001,1,EXPEDIA,96.07,14,CANCELLED
BK-00204,2025-01-21,2025-01-23,sui-001,2,BOOKING,176.08,10,CONFIRMED
BK-00205,2025-01-21,2025-01-22,dob-001,1,EXPEDIA,98.26,0,CONFIRMED
BK-00206,2025-01-21,2025-01-22,dob-001,2,BOOKING,98.68,0,CONFIRMED
BK-00207,2025-01-21,2025-01-23,dob-001,2,BOOKING,94.02,8,CONFIRMED
BK-00208,2025-01-21,2025-01-22,dob-001,2,DIRECT,108.75,0,CONFIRMED
BK-00209,2025-01-22,2025-01-23,dob-001,1,EXPEDIA,94.39,9,CONFIRMED
BK-00210,2025-01-22,2025-01-23,dob-001,2,AIRBNB,90.17,0,CONFIRMED
BK-00211,2025-01-22,2025-01-24,sui-001,3,BOOKING,160.93,10,CONFIRMED
BK-00212,2025-01-22,2025-01-25,sup-001,2,BOOKING,126.0,0,CONFIRMED
BK-00213,2025-01-22,2025-01-24,dob-001,2,BOOKING,94.58,20,CONFIRMED
BK-00214,2025-01-22,2025-01-23,sui-001,3,AIRBNB,161.79,10,CONFIRMED
BK-00215,2025-01-22,2025-01-25,dob-001,2,EXPEDIA,91.53,0,CONFIRMED
BK-00216,2025-01-23,2025-01-25,dob-001,1,BOOKING,97.01,0,CONFIRMED
BK-00217,2025-01-23,2025-01-27,sup-001,2,BOOKING,125.85,0,CONFIRMED
BK-00218,2025-01-23,2025-01-24,dob-001,2,EXPEDIA,96.59,5,CONFIRMED
BK-00219,2025-01-23,2025-01-24,dob-001,2,BOOKING,92.38,14,CONFIRMED
BK-00220,2025-01-23,2025-01-25,sui-001,2,AIRBNB,162.5,2,CONFIRMED
BK-00221,2025-01-23,2025-01-24,sui-001,1,DIRECT,185.28,17,CONFIRMED
BK-00222,2025-01-23,2025-01-25,sui-001,2,EXPEDIA,162.98,0,CONFIRMED
BK-00223,2025-01-24,2025-01-26,dob-001,2,DIRECT,129.16,18,CONFIRMED
BK-00224,2025-01-24,2025-01-25,dob-001,2,AIRBNB,115.38,2,CONFIRMED
BK-00225,2025-01-24,2025-01-25,sui-001,2,AIRBNB,204.06,10,CONFIRMED
BK-00226,2025-01-24,2025-01-26,sup-001,2,DIRECT,171.77,5,CONFIRMED
BK-00227,2025-01-24,2025-01-25,dob-001,1,DIRECT,133.37,11,CONFIRMED
BK-00228,2025-01-24,2025-01-27,sui-001,2,DIRECT,215.16,5,CONFIRMED
BK-00229,2025-01-24,2025-01-26,dob-001,1,BOOKING,120.88,22,CANCELLED
BK-00230,2025-01-24,2025-01-27,sup-001,2,BOOKING,145.82,26,CONFIRMED
BK-00231,2025-01-24,2025-01-26,sup-001,2,EXPEDIA,154.71,6,CONFIRMED
BK-00232,2025-01-24,2025-01-28,dob-001,2,BOOKING,115.88,5,CONFIRMED
BK-00233,2025-01-25,2025-01-26,dob-001,2,BOOKING,120.85,7,CONFIRMED
BK-00234,2025-01-25,2025-01-28,sup-001,1,AIRBNB,146.02,8,CONFIRMED
BK-00235,2025-01-25,2025-01-27,dob-001,1,DIRECT,129.21,11,CONFIRMED
BK-00236,2025-01-25,2025-01-28,dob-001,1,DIRECT,125.34,23,CONFIRMED
BK-00237,2025-01-25,2025-01-27,sup-001,2,BOOKING,152.85,37,CONFIRMED
BK-00238,2025-01-25,2025-01-26,sui-001,1,BOOKING,214.89,17,CONFIRMED
BK-00239,2025-01-25,2025-01-27,sup-001,2,BOOKING,156.8,25,CONFIRMED
BK-00240,2025-01-25,2025-01-26,dob-001,1,BOOKING,113.23,3,CONFIRMED
BK-00241,2025-01-25,2025-01-27,dob-001,2,DIRECT,126.38,33,CONFIRMED
BK-00242,2025-01-25,2025-01-26,sup-001,2,AIRBNB,145.26,32,CONFIRMED
BK-00243,2025-01-26,2025-01-27,dob-001,1,DIRECT,103.84,0,CONFIRMED
BK-00244,2025-01-26,2025-01-28,dob-001,2,DIRECT,101.6,9,CONFIRMED
BK-00245,2025-01-26,2025-01-29,dob-001,2,BOOKING,97.67,9,CONFIRMED
BK-00246,2025-01-26,2025-01-28,sui-001,3,EXPEDIA,160.05,0,CONFIRMED
BK-00247,2025-01-26,2025-01-30,dob-001,2,EXPEDIA,92.84,5,CONFIRMED
BK-00248,2025-01-26,2025-01-28,sup-001,1,EXPEDIA,118.19,0,CONFIRMED
BK-00249,2025-01-26,2025-01-27,sui-001,2,DIRECT,186.43,4,CONFIRMED
BK-00250,2025-01-27,2025-01-30,sui-001,1,EXPEDIA,163.08,0,CONFIRMED
BK-00251,2025-01-27,2025-01-29,dob-001,1,BOOKING,94.6,12,CONFIRMED
BK-00252,2025-01-27,2025-01-29,sup-001,2,BOOKING,120.18,3,CONFIRMED
BK-00253,2025-01-27,2025-01-29,dob-001,2,DIRECT,105.81,5,CONFIRMED
BK-00254,2025-01-27,2025-01-28,dob-001,2,AIRBNB,87.75,11,CONFIRMED
BK-00255,2025-01-27,2025-01-28,sup-001,2,AIRBNB,115.3,8,CANCELLED
BK-00256,2025-01-27,2025-01-28,sup-001,1,BOOKING,120.31,1,CONFIRMED
BK-00257,2025-01-28,2025-02-01,dob-001,1,EXPEDIA,97.63,2,CONFIRMED
BK-00258,2025-01-28,2025-01-30,dob-001,2,DIRECT,99.54,4,CONFIRMED
BK-00259,2025-01-28,2025-01-29,sup-001,2,BOOKING,123.72,20,CONFIRMED
BK-00260,2025-01-28,2025-02-01,dob-001,2,DIRECT,99.42,1,CANCELLED
BK-00261,2025-01-28,2025-01-30,sup-001,2,EXPEDIA,119.98,13,CANCELLED
BK-00262,2025-01-28,2025-02-03,sui-001,2,BOOKING,175.76,19,CANCELLED
BK-00263,2025-01-28,2025-01-31,sui-001,2,DIRECT,190.31,12,CONFIRMED
BK-00264,2025-01-29,2025-01-31,dob-001,2,AIRBNB,88.4,6,CONFIRMED
BK-00265,2025-01-29,2025-01-30,dob-001,1,BOOKING,96.65,5,CONFIRMED
BK-00266,2025-01-29,2025-01-30,sup-001,2,AIRBNB,117.98,0,CONFIRMED
BK-00267,2025-01-29,2025-01-31,dob-001,1,DIRECT,100.94,7,CONFIRMED
BK-00268,2025-01-29,2025-02-02,sup-001,2,DIRECT,135.98,12,CONFIRMED
BK-00269,2025-01-29,2025-01-30,sup-001,2,DIRECT,136.65,0,CONFIRMED
BK-00270,2025-01-29,2025-01-30,dob-001,1,AIRBNB,88.64,6,CONFIRMED
BK-00271,2025-01-30,2025-01-31,dob-001,2,EXPEDIA,96.36,0,CONFIRMED
BK-00272,2025-01-30,2025-01-31,sup-001,2,DIRECT,128.32,4,CONFIRMED
BK-00273,2025-01-30,2025-02-01,dob-001,2,DIRECT,104.43,0,CONFIRMED
BK-00274,2025-01-30,2025-01-31,dob-001,1,BOOKING,96.8,4,CONFIRMED
BK-00275,2025-01-30,2025-02-01,dob-001,2,EXPEDIA,95.64,4,CONFIRMED
BK-00276,2025-01-30,2025-02-01,sup-001,2,BOOKING,124.97,7,CONFIRMED
BK-00277,2025-01-30,2025-01-31,dob-001,2,DIRECT,98.83,21,CANCELLED
BK-00278,2025-01-31,2025-02-02,dob-001,2,EXPEDIA,117.33,23,CONFIRMED
BK-00279,2025-01-31,2025-02-01,sui-001,3,AIRBNB,197.4,7,CONFIRMED
BK-00280,2025-01-31,2025-02-01,sup-001,2,DIRECT,168.75,0,CONFIRMED
BK-00281,2025-01-31,2025-02-01,dob-001,1,DIRECT,131.86,2,CONFIRMED
BK-00282,2025-01-31,2025-02-01,dob-001,2,DIRECT,122.79,10,CONFIRMED
BK-00283,2025-01-31,2025-02-01,sup-001,2,EXPEDIA,145.64,15,CONFIRMED
BK-00284,2025-01-31,2025-02-02,sup-001,2,DIRECT,160.61,18,CONFIRMED
BK-00285,2025-01-31,2025-02-03,dob-001,2,DIRECT,125.42,20,CONFIRMED
BK-00286,2025-01-31,2025-02-02,sup-001,2,DIRECT,167.63,0,CONFIRMED
BK-00287,2025-01-31,2025-02-01,dob-001,2,DIRECT,126.8,25,CONFIRMED
BK-00288,2025-02-01,2025-02-06,dob-001,2,AIRBNB,110.32,6,CONFIRMED
BK-00289,2025-02-01,2025-02-02,dob-001,2,BOOKING,120.73,18,CONFIRMED
BK-00290,2025-02-01,2025-02-04,sup-001,2,BOOKING,147.18,7,CONFIRMED
BK-00291,2025-02-01,2025-02-02,dob-001,2,BOOKING,114.61,27,CONFIRMED
BK-00292,2025-02-01,2025-02-03,dob-001,2,BOOKING,121.37,22,CONFIRMED
