fecha,dia_semana,nombre_dia,evento,evento_nombre,clima,clima_nombre,ocupacion,pickup_ratio,precio_competencia,demanda_observada,precio_aplicado,los_dias,huespedes,habitaciones,segmento_mercado,segmento_nombre,dispositivo,dispositivo_nombre,divisa,divisa_nombre
2025-03-19,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5399,1.1114,99.01,15,98.93,1,3,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.USD,USD
2025-03-20,3,Jue,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.5594,0.9922,100.02,15,100.89,6,3,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-21,4,Vie,EventType.NONE,NONE,WeatherType.RAIN,RAIN,0.7345,1.1541,121.08,14,135.09,2,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-22,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.7933,1.5642,128.5,16,129.13,3,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.TABLET,TABLET,CurrencyType.EUR,EUR
2025-03-23,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5348,1.1868,119.86,10,110.9,1,4,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-24,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.6251,1.033,112.93,16,111.07,2,4,3,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-25,1,Mar,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5076,1.048,104.93,15,95.29,3,1,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.TABLET,TABLET,CurrencyType.EUR,EUR
2025-03-26,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5966,0.9,125.23,16,115.89,6,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.GBP,GBP
2025-03-27,3,Jue,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5011,0.9985,117.96,12,119.25,4,4,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-28,4,Vie,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.7085,1.1833,113.5,14,121.12,5,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.GBP,GBP
2025-03-29,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.7559,1.4484,117.5,18,110.07,1,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-30,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5459,1.2848,139.08,15,151.24,1,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-31,0,Lun,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.4791,1.0229,125.49,9,130.1,2,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-01,1,Mar,EventType.NONE,NONE,WeatherType.RAIN,RAIN,0.6832,1.0922,120.65,11,118.82,2,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.TABLET,TABLET,CurrencyType.EUR,EUR
2025-04-02,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.8245,1.3159,138.33,17,151.5,1,3,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.USD,USD
2025-04-03,3,Jue,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.8595,1.2866,130.26,19,135.64,2,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-04,4,Vie,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.9466,1.1874,139.41,18,143.65,4,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-05,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.98,1.5012,139.46,21,146.43,2,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-06,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7114,1.3563,118.35,14,126.37,3,2,2,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-07,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7449,0.9294,123.11,19,117.61,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-08,1,Mar,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.8306,1.107,110.93,13,124.21,4,4,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-09,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.8409,1.1808,129.23,18,130.85,1,1,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.GBP,GBP
2025-04-10,3,Jue,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.897,1.1778,127.86,21,131.12,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-11,4,Vie,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.98,1.0819,126.53,24,117.18,3,2,2,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-12,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.98,1.3989,138.12,21,135.8,1,3,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-13,6,Dom,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.STORM,STORM,0.8164,1.2494,160.16,20,148.94,3,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-14,0,Lun,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.CLOUDY,CLOUDY,0.6972,1.268,140.98,15,145.79,7,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.USD,USD
2025-04-15,1,Mar,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.SUNNY,SUNNY,0.8216,1.5298,146.25,24,135.2,1,3,2,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-16,2,Mié,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.CLOUDY,CLOUDY,0.8139,1.3713,161.55,17,150.87,2,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-17,3,Jue,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.SUNNY,SUNNY,0.9116,1.2771,174.22,24,155.43,1,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-18,4,Vie,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.98,1.4927,162.82,23,172.38,3,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-19,5,Sáb,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.98,1.4365,160.4,24,150.65,3,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-20,6,Dom,EventType.SEMANA_SANTA,SEMANA_SANTA,WeatherType.SUNNY,SUNNY,0.8843,1.3657,159.5,24,158.51,1,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-21,0,Lun,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.7268,1.1267,121.0,20,116.27,3,3,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-22,1,Mar,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.733,1.1444,118.73,19,105.37,5,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-23,2,Mié,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.7475,1.1318,119.81,15,112.5,1,4,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-24,3,Jue,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.8323,1.1537,134.66,17,147.21,1,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.GBP,GBP
2025-04-25,4,Vie,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.98,1.0849,139.94,24,127.18,7,1,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.TABLET,TABLET,CurrencyType.GBP,GBP
2025-04-26,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.98,1.4895,135.11,22,142.01,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-27,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.7903,1.3112,135.39,17,146.97,3,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-28,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.775,1.1603,138.17,16,141.82,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-04-29,1,Mar,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7042,1.149,114.7,15,121.39,3,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-04-30,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7539,1.2186,130.23,13,130.72,5,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-01,3,Jue,EventType.PUENTE,PUENTE,WeatherType.CLOUDY,CLOUDY,0.5669,1.3261,130.06,9,138.46,1,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.USD,USD
2025-05-02,4,Vie,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.7714,1.0758,125.1,20,117.02,2,3,2,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-03,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.8635,1.4084,137.96,20,154.19,2,3,3,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-04,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.6244,1.4745,117.06,15,128.46,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-05,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.6211,0.9764,114.48,18,104.24,4,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.TABLET,TABLET,CurrencyType.EUR,EUR
2025-05-06,1,Mar,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.5493,1.0382,114.31,15,102.37,2,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.TABLET,TABLET,CurrencyType.EUR,EUR
2025-05-07,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.6862,1.1564,123.74,18,109.22,4,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-08,3,Jue,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5966,0.8924,124.17,17,123.49,1,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-09,4,Vie,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7334,1.1093,110.56,19,116.18,2,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-10,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.8325,1.3469,127.09,22,117.98,1,4,3,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-11,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.SUNNY,SUNNY,0.5424,1.3577,125.54,15,136.07,2,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-12,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.4511,1.0708,112.87,10,107.79,3,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.USD,USD
2025-05-13,1,Mar,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5139,1.1339,115.21,10,124.94,2,4,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-14,2,Mié,EventType.NONE,NONE,WeatherType.RAIN,RAIN,0.578,0.9585,110.72,14,110.06,1,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-15,3,Jue,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.6355,1.0073,120.99,15,120.68,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-16,4,Vie,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7748,1.0854,125.32,16,128.76,3,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-17,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.SUNNY,SUNNY,0.8566,1.4225,126.11,23,111.63,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-18,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5858,1.3657,125.11,13,129.08,7,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-19,0,Lun,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5425,0.9281,125.98,11,120.65,6,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-20,1,Mar,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5484,1.0659,120.48,12,120.55,1,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-21,2,Mié,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5917,1.1413,114.22,14,108.77,2,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-22,3,Jue,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.6828,1.2264,115.2,15,111.36,2,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-23,4,Vie,EventType.NONE,NONE,WeatherType.RAIN,RAIN,0.9295,1.2011,134.48,17,148.58,3,5,5,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-24,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.8464,1.5157,131.77,18,145.29,1,1,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-25,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.5797,1.3362,105.21,15,100.87,1,1,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.USD,USD
2025-05-26,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5157,1.0437,117.1,12,126.78,2,3,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-05-27,1,Mar,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5942,0.9005,112.54,15,99.96,3,2,2,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-28,2,Mié,EventType.NONE,NONE,WeatherType.RAIN,RAIN,0.6612,1.0804,124.48,16,122.24,1,3,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-05-29,3,Jue,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.6484,1.0748,137.77,16,139.95,3,3,3,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.GBP,GBP
